gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,256,1,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,23.1763,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_fp4,0.9%,16.8433,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_bnt2_persist,1.4%,40.0196,0,0,0,16.98,242417.31,
gfx950,256,2,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,42.6271,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_xcd4_kw4_fp4,0.9%,26.848,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce,1.5%,69.4751,0,0,0,19.56,139639.41,
gfx950,256,4,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,73.3988,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w3_kw2_fp4,0.8%,44.5249,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_bnt2,1.6%,117.9237,0,0,0,23.05,82269.29,
gfx950,256,8,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,134.2371,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w3,0.0%,75.9134,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_reduce_bnt2,1.5%,210.1505,0,0,0,25.87,46164.88,
gfx950,256,16,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,233.4281,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w3,0.0%,127.2874,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic_persist,6.3%,360.7155,0,0,0,30.14,26895.77,
gfx950,256,32,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,351.1481,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w3_fp4,0.8%,193.5721,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_reduce_persist,1.5%,544.7202,0,0,0,39.92,17811.01,
gfx950,256,64,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,458.17,flydsl_moe1_afp4_wfp4_bf16_t32x32x256_w2_kw4,0.0%,249.3472,flydsl_moe2_afp4_wfp4_bf16_t32x128x128_atomic_persist,6.2%,707.5172,0,0,0,61.46,13713.6,
gfx950,256,128,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,513.8856000000001,flydsl_moe1_afp4_wfp4_bf16_t32x64x256_w2,0.0%,276.6438,flydsl_moe2_afp4_wfp4_bf16_t32x128x256_atomic,6.2%,790.5294,0,0,0,110.02,12275.05,
gfx950,256,256,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,522.8823,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w4_fp4,0.8%,287.7902,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_bnt2_persist,6.3%,810.6725,0,0,0,214.57,11972.95,
gfx950,256,512,6144,2048,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,64,0,531.5599,flydsl_moe1_afp4_wfp4_bf16_t64x128x256_w2_fp4,0.8%,291.8145,flydsl_moe2_afp4_wfp4_bf16_t64x128x256_atomic_bnt2_persist,6.3%,823.3744,0,0,0,422.52,11793.98,
